,file_number,filename,object,object_score,object_bounds,time,last_clean_time,next_clean_time,new_date,new_time,group,range_start
0,1,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0001.JPG,Person,0.5243075489997864,"normalized_vertices {
  x: 0.000697733776178211
  y: 0.6631861329078674
}
normalized_vertices {
  x: 0.03690372034907341
  y: 0.6631861329078674
}
normalized_vertices {
  x: 0.03690372034907341
  y: 0.962303102016449
}
normalized_vertices {
  x: 0.000697733776178211
  y: 0.962303102016449
}
",2020-05-17 13:09:51,,2020-05-17 14:29:05,2020-05-17,13:09:51,1,2020-05-17 13:09:51
1,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Pants,0.9228149652481079,"normalized_vertices {
  x: 0.2498955875635147
  y: 0.7294091582298279
}
normalized_vertices {
  x: 0.4193207323551178
  y: 0.7294091582298279
}
normalized_vertices {
  x: 0.4193207323551178
  y: 0.956219494342804
}
normalized_vertices {
  x: 0.2498955875635147
  y: 0.956219494342804
}
",2020-05-17 14:29:05,,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
2,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Person,0.9177337884902954,"normalized_vertices {
  x: 0.8738443851470947
  y: 0.5924568772315979
}
normalized_vertices {
  x: 0.9670310020446777
  y: 0.5924568772315979
}
normalized_vertices {
  x: 0.9670310020446777
  y: 0.8508018851280212
}
normalized_vertices {
  x: 0.8738443851470947
  y: 0.8508018851280212
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
3,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Person,0.9154880046844482,"normalized_vertices {
  x: 0.7050313949584961
  y: 0.5756070017814636
}
normalized_vertices {
  x: 0.8423795700073242
  y: 0.5756070017814636
}
normalized_vertices {
  x: 0.8423795700073242
  y: 0.9155145287513733
}
normalized_vertices {
  x: 0.7050313949584961
  y: 0.9155145287513733
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
4,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Person,0.9139096140861511,"normalized_vertices {
  x: 0.4982750415802002
  y: 0.46587565541267395
}
normalized_vertices {
  x: 0.7008767127990723
  y: 0.46587565541267395
}
normalized_vertices {
  x: 0.7008767127990723
  y: 0.978722333908081
}
normalized_vertices {
  x: 0.4982750415802002
  y: 0.978722333908081
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
5,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Pants,0.888589084148407,"normalized_vertices {
  x: 0.7108435034751892
  y: 0.7594113945960999
}
normalized_vertices {
  x: 0.8139004111289978
  y: 0.7594113945960999
}
normalized_vertices {
  x: 0.8139004111289978
  y: 0.89717698097229
}
normalized_vertices {
  x: 0.7108435034751892
  y: 0.89717698097229
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
6,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Person,0.8758193254470825,"normalized_vertices {
  x: 0.22835446894168854
  y: 0.30717286467552185
}
normalized_vertices {
  x: 0.4215334355831146
  y: 0.30717286467552185
}
normalized_vertices {
  x: 0.4215334355831146
  y: 0.9683070182800293
}
normalized_vertices {
  x: 0.22835446894168854
  y: 0.9683070182800293
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
7,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Pants,0.8736151456832886,"normalized_vertices {
  x: 0.5214489698410034
  y: 0.7638692259788513
}
normalized_vertices {
  x: 0.6714423298835754
  y: 0.7638692259788513
}
normalized_vertices {
  x: 0.6714423298835754
  y: 0.9544751644134521
}
normalized_vertices {
  x: 0.5214489698410034
  y: 0.9544751644134521
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
8,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Person,0.7831117510795593,"normalized_vertices {
  x: 0.24288129806518555
  y: 0.307299941778183
}
normalized_vertices {
  x: 0.4358152151107788
  y: 0.307299941778183
}
normalized_vertices {
  x: 0.4358152151107788
  y: 0.96784508228302
}
normalized_vertices {
  x: 0.24288129806518555
  y: 0.96784508228302
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
9,4,C:\Users\jaqua\Downloads\Thopmson__-20211127T004305Z-001\Thopmson_\PUP 10_\100MEDIA\DSCF0004.JPG,Top,0.7760316133499146,"normalized_vertices {
  x: 0.24230162799358368
  y: 0.4099154472351074
}
normalized_vertices {
  x: 0.37914523482322693
  y: 0.4099154472351074
}
normalized_vertices {
  x: 0.37914523482322693
  y: 0.7500784993171692
}
normalized_vertices {
  x: 0.24230162799358368
  y: 0.7500784993171692
}
",2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17 14:29:05,2020-05-17,14:29:05,2,2020-05-17 14:29:05
