,days,persons
0,2020-05-17,6.0
1,2020-05-18,4.0
2,2020-05-19,7.0
3,2020-05-20,6.0
4,2020-05-21,13.0
5,2020-05-22,5.0
6,2020-05-23,4.0
7,2020-05-24,15.0
8,2020-05-25,16.0
9,2020-05-26,6.0
10,2020-05-27,4.0
11,2020-05-28,3.0
12,2020-05-29,1.0
13,2020-05-30,9.0
14,2020-05-31,2.0
